city_development_index,relevent_experience,education_level,experience,last_new_job,training_hours,gender_Female,gender_Male,gender_Other,enrolled_university_Full time course,enrolled_university_No Enrollment,enrolled_university_Part time course,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_Unknown,company_size_Large,company_size_Medium,company_size_Small,company_size_Unknown,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown,training_per_experience,target
0.92,1,3,21,1,3.6109179126442243,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,1.636363636363636,1.0
0.7759999999999999,0,3,15,5,3.871201010907891,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,2.9375000000000004,0.0
0.624,0,3,5,0,4.430816798843313,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,13.83333333333333,0.0
0.767,1,4,21,4,2.1972245773362196,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0.3636363636363637,0.0
0.764,1,3,11,1,3.2188758248682006,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,1.9999999999999998,1.0
0.92,1,2,5,1,3.2188758248682006,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,3.9999999999999996,0.0
0.762,1,3,13,5,2.9444389791664403,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1.2857142857142854,1.0
0.92,1,3,7,1,3.8501476017100584,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,5.749999999999999,1.0
0.92,1,3,17,5,4.820281565605037,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,6.833333333333335,0.0
0.624,0,2,2,0,3.4965075614664802,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,10.666666666666666,1.0
0.92,1,3,5,1,4.6913478822291435,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,17.999999999999996,0.0
0.913,1,3,21,3,3.1780538303479458,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,1.0454545454545456,0.0
0.624,0,2,5,0,3.295836866004329,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,4.333333333333333,0.0
0.926,1,3,16,5,2.9444389791664403,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1.0588235294117645,0.0
0.92,1,3,1,0,4.672828834461906,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,52.99999999999998,0.0
0.624,1,3,2,2,2.0794415416798357,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2.3333333333333326,0.0
0.624,1,3,7,0,3.1780538303479458,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,2.8750000000000004,1.0
0.8270000000000001,1,3,4,1,4.890349128221754,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,26.4,1.0
0.843,1,4,11,1,4.23410650459726,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,5.666666666666668,0.0
0.926,1,4,11,2,3.9318256327243257,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,4.166666666666667,0.0
0.804,1,4,10,1,3.8918202981106265,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,4.363636363636363,0.0
0.7759999999999999,1,3,0,1,4.189654742026425,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,64.99999999999997,0.0
0.624,1,3,5,1,2.6390573296152584,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2.166666666666666,0.0
0.855,0,2,4,0,3.1354942159291497,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,4.4,0.0
0.624,1,3,14,1,5.003946305945459,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,9.866666666666667,1.0
0.92,1,3,5,2,4.290459441148391,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,11.999999999999998,0.0
0.887,1,2,11,1,2.1972245773362196,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0.6666666666666669,1.0
0.624,1,3,18,2,4.23410650459726,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3.5789473684210535,1.0
0.92,1,3,21,3,3.713572066704308,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,1.8181818181818186,0.0
0.92,1,3,19,5,4.955827057601261,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,7.050000000000002,0.0
0.92,0,3,5,1,3.2188758248682006,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,3.9999999999999996,0.0
0.92,1,3,21,5,4.418840607796598,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,3.7272727272727284,0.0
0.91,1,3,12,3,4.983606621708336,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,11.153846153846153,0.0
0.92,1,3,10,2,5.332718793265369,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,18.727272727272723,0.0
0.926,0,2,1,1,5.030437921392435,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,75.99999999999999,0.0
0.926,1,5,21,4,3.7612001156935624,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,1.9090909090909092,1.0
0.92,0,3,12,4,3.9318256327243257,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,3.8461538461538463,0.0
0.926,1,4,16,2,2.70805020110221,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.8235294117647058,0.0
0.924,1,2,4,2,3.6109179126442243,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,7.199999999999998,0.0
0.624,1,4,6,1,4.727387818712341,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,16.000000000000004,1.0
0.6659999999999999,0,3,9,0,4.6913478822291435,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,10.799999999999997,0.0
0.624,1,4,9,3,2.0794415416798357,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0.6999999999999998,1.0
0.624,0,4,5,0,3.295836866004329,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,4.333333333333333,1.0
0.624,1,3,5,0,4.477336814478207,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,14.500000000000005,1.0
0.92,1,3,19,4,3.970291913552122,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,2.6000000000000005,1.0
0.5579999999999999,1,3,15,5,3.044522437723423,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.25,1.0
0.923,1,3,11,1,3.091042453358316,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1.7500000000000002,0.0
0.5579999999999999,0,3,4,1,4.532599493153256,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,18.400000000000006,1.0
0.6659999999999999,1,3,10,2,4.634728988229636,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,9.272727272727273,0.0
0.794,0,3,5,5,3.295836866004329,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,4.333333333333333,0.0
0.924,1,4,3,2,2.0794415416798357,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,1.7499999999999996,0.0
0.926,0,2,4,1,3.784189633918261,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,8.599999999999998,0.0
0.924,1,3,21,1,3.828641396489095,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,2.0454545454545454,0.0
0.754,1,3,2,2,3.970291913552122,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,17.333333333333336,0.0
0.92,1,3,21,2,2.995732273553991,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0.8636363636363634,0.0
0.767,1,3,21,5,3.295836866004329,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.1818181818181819,1.0
0.855,1,3,6,1,4.51085950651685,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,12.857142857142852,0.0
0.939,1,3,6,3,3.258096538021482,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,3.571428571428572,0.0
0.887,1,4,21,5,3.8918202981106265,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2.1818181818181817,0.0
0.865,1,3,10,2,4.962844630259907,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,12.909090909090905,1.0
0.855,0,4,4,4,2.6390573296152584,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2.599999999999999,0.0
0.91,1,3,15,5,3.871201010907891,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,2.9375000000000004,0.0
0.91,1,4,14,1,3.367295829986474,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.866666666666667,0.0
0.6659999999999999,1,3,21,4,3.1354942159291497,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,1.0,0.0
0.624,0,3,0,0,2.9444389791664403,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,17.999999999999996,1.0
0.8270000000000001,1,3,2,1,3.4011973816621555,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,9.666666666666668,0.0
0.855,1,4,5,1,3.8501476017100584,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,7.666666666666665,0.0
0.55,0,3,0,0,2.5649493574615367,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,12.0,0.0
0.92,1,3,5,2,2.8903717578961645,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,2.8333333333333326,0.0
